측정소명,측정소코드,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
중구,111121,43,38,34,38,28,19,22,18,20,23,37,37,30
종로구,111123,43,39,40,43,32,20,23,20,21,23,38,38,32
중랑구,111151,43,40,40,43,33,23,26,22,21,24,38,38,33
동대문구,111152,43,39,42,47,35,25,27,25,22,24,38,37,34
은평구,111181,41,39,44,48,37,24,23,19,20,22,36,35,32
마포구,111201,38,35,38,43,32,20,23,18,22,23,35,34,30
영등포구,111231,42,38,40,42,31,21,26,21,24,27,40,36,32
동작구,111241,49,44,44,46,32,22,28,23,25,28,41,40,35
관악구,111251,38,37,40,45,33,24,29,24,26,30,45,39,34
강남구,111261,42,38,40,43,31,23,26,21,23,26,39,36,32
금천구,111281,44,39,39,42,30,20,24,19,22,26,37,33,31
강동구,111274,47,43,44,45,32,23,23,20,21,26,40,41,34
강북구,111291,48,44,44,45,34,24,27,23,22,22,36,41,34
성북구,111161,40,41,46,51,38,24,22,19,23,24,39,36,33
용산구,111131,43,39,41,45,35,22,26,21,24,26,38,37,33
광진구,111141,40,37,40,44,32,22,26,20,20,23,37,37,31
성동구,111142,45,41,42,45,35,24,28,24,24,27,41,39,35
도봉구,111171,44,38,39,41,32,21,20,16,17,20,35,33,30
서대문구,111191,41,39,41,44,33,21,21,17,19,22,37,36,31
구로구,111221,43,40,45,52,39,21,21,16,26,31,46,40,35
서초구,111262,39,37,42,47,34,22,22,17,22,26,43,37,32
강서구,111212,50,44,44,49,36,23,26,21,26,30,45,45,37
송파구,111273,43,40,42,45,36,24,27,22,24,27,40,38,34
양천구,111301,46,44,45,45,31,23,25,23,24,25,40,39,34
노원구,111311,46,44,43,46,33,23,23,21,20,24,39,41,34
한강대로,111122,52,50,50,60,53,34,35,28,29,16,45,42,44
청계천로,111124,43,40,43,47,36,26,31,26,26,31,50,39,37
종로,111125,47,43,44,46,35,24,26,23,23,25,40,38,34
홍릉로,111154,43,39,43,48,36,28,28,23,24,28,44,37,35
신촌로,111202,45,42,42,50,41,32,37,31,30,30,45,44,39
영등포로,111232,41,38,40,44,35,24,28,23,26,29,43,38,34
도산대로,111263,47,44,50,51,39,26,28,20,24,29,45,41,37
천호대로,111275,51,45,47,48,39,28,27,22,23,27,42,42,37
강남대로,111264,51,49,54,53,39,24,23,19,23,30,44,40,37
강변북로,111143,46,43,49,53,39,24,24,19,18,32,43,38,36
화랑로,111312,40,37,38,42,36,24,24,23,22,24,38,37,32
공항대로,111213,47,42,45,48,38,26,30,26,28,30,44,39,37
동작대로,111242,46,43,45,47,39,27,30,28,27,30,46,41,37
정릉로,111162,46,41,43,49,37,27,28,26,25,27,41,40,36
시흥대로,111282,48,42,46,51,36,25,30,23,27,29,41,37,36
